Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
ruffle-cheetah-skirt,Ruffle Cheetah Skirt,<p>An ankle-length skirt in tiered animal print chiffon. Fitted high waistband with size zipper enclosure. <br>Model is 5’3” wearing an x-small</p>,Goldie Lew,Clothes,,TRUE,Size,Small,,,,,,0,shopify,3,deny,manual,178,178,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/skirt1_1.jpg?v=1576530005,1,,FALSE,,,,,,,,,,,,,,,,,lb,,89
ruffle-cheetah-skirt,,,,,,,,Medium,,,,,,0,shopify,3,deny,manual,178,178,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/skirt2_1.jpg?v=1576530005,2,,,,,,,,,,,,,,,,,,,lb,,89
bella-jaguar-dress,Bella Jaguar Dress,"<meta charset=""utf-8""><meta charset=""utf-8""><span>Long sleeve, button-down front, jaguar printed dress featuring mandarin collar, raglan sleeves, delicate shirring detail at the wrist, drawstring waistline, and curved bottom hem. Pull the drawstring waist for a flattering cinched look or leave loose for a casual relaxed fit. Skirt lined.</span><br>",Goldie Lew,Tops,,TRUE,Size,S,,,,,,454,shopify,1,deny,manual,218,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/DSC07797.jpg?v=1576376397,1,,FALSE,,,,,,,,,,,,,,,,,lb,,99
bella-jaguar-dress,,,,,,,,M,,,,,,454,shopify,1,deny,manual,218,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/DSC07771.jpg?v=1576376397,2,,,,,,,,,,,,,,,,,,,lb,,99
bella-jaguar-dress,,,,,,,,L,,,,,,454,shopify,2,deny,manual,218,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/DSC07747.jpg?v=1576376397,3,,,,,,,,,,,,,,,,,,,lb,,99
maci-caramel-skirt,Maci Caramel Skirt,"<meta charset=""utf-8""><meta charset=""utf-8""><meta charset=""utf-8""><meta charset=""utf-8""><meta charset=""utf-8"">
<p><span>The perfect silky soft midi skirt for every occasion! This skirt features an elastic lined waist and hugs and flows in all the right places. Throw this midi skirt on for date night and feel cute as heck!</span><br></p>
<meta charset=""utf-8""><meta charset=""utf-8""><meta charset=""utf-8"">
<p><span>*Silky fabric - 100% Polyester</span><br><span>*Lined</span><br><span>*Elastic lined waist</span><br></p>
<p><span>Model is 5'0 and wearing a Small</span></p>
<ul></ul>
<ul></ul>",Goldie Lew,Clothes,,TRUE,Size,S,,,,,,54,shopify,2,deny,manual,118,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/DSC07643.jpg?v=1575987738,1,,FALSE,,,,,,,,,,,,,,,,,lb,,54
maci-caramel-skirt,,,,,,,,M,,,,,,54,shopify,1,deny,manual,118,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,54
anjolie-wrap-skirt,Anjolie Wrap Skirt,"<meta charset=""utf-8""><meta charset=""utf-8""><meta charset=""utf-8""><meta charset=""utf-8"">
<p><span>The perfect flirty and fun wrap skirt for your next party! This wrap skirt features a tie front wrap closure and an elastic lined waist. Feel good as gold in this new wrap skirt!</span><br></p>
<meta charset=""utf-8"">
<p><span>*Stretch - 75% Nylon, 20% Metallic, 5% Spandex<br>*Tie front wrap closure<br>*Elastic lined waist</span></p>
<p> </p>",Goldie Lew,Tops,,TRUE,Size,S,,,,,,272,shopify,2,deny,manual,144,144,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/6Q7A6107.jpg?v=1574138843,1,,FALSE,,,,,,,,,,,,,,,,,lb,,66
anjolie-wrap-skirt,,,,,,,,M,,,,,,272,shopify,2,deny,manual,144,144,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/6Q7A6089_e37ef14e-5e7b-4dd6-a78e-e59b02fcaf62.jpg?v=1574138843,2,,,,,,,,,,,,,,,,,,,lb,,66
anjolie-wrap-skirt,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/DSC00188.jpg?v=1574138843,3,,,,,,,,,,,,,,,,,,,,,
ivory-splash-skirt,Ivory Splash Skirt,"<p>Show your wild side! This leopard print skirt can be dressed up with a blouse or more casual with a graphic tee!</p>
<p>Our model is 5 feet tall and wearing a size small.</p>",Goldie Lew,Clothes,,TRUE,Size,Small,,,,,,227,shopify,5,deny,manual,49,49,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/DSC09732.jpg?v=1572363926,1,,FALSE,,,,,,,,,,,,,,,,,lb,,20
ivory-splash-skirt,,,,,,,,Medium,,,,,,227,shopify,6,deny,manual,49,49,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/DSC09952_e172bb24-7ff7-49e0-ac5e-5946b859773f.jpg?v=1572363926,2,,,,,,,,,,,,,,,,,,,lb,,20
ivory-splash-skirt,,,,,,,,Large,,,,,,227,shopify,4,deny,manual,49,49,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,20
white-leopard-skirt,White Leopard Skirt,"<p>Show your wild side! This leopard print skirt can be dressed up with a blouse or more casual with a graphic tee!</p>
<p>Our model is 5'6 and wearing a size small.</p>",Goldie Lew,Clothes,,TRUE,Size,Small,,,,,,227,shopify,2,deny,manual,49,49,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/DSC00121.jpg?v=1572363827,1,,FALSE,,,,,,,,,,,,,,,,,lb,,20
white-leopard-skirt,,,,,,,,Medium,,,,,,227,shopify,1,deny,manual,49,49,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/DSC09952_dee2a9af-c2fb-44d6-b2cc-7823fb52dd6d.jpg?v=1572363827,2,,,,,,,,,,,,,,,,,,,lb,,20
white-leopard-skirt,,,,,,,,Large,,,,,,227,shopify,2,deny,manual,49,49,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,20
wild-thing-skirt,Wild Thing Skirt,"<p>Show your wild side! This leopard print skirt can be dressed up with a blouse or more casual with a graphic tee!</p>
<p>Jazlyn is 5 feet tall and wearing a size small.</p>",Goldie Lew,Clothes,,TRUE,Size,Small,,,,,,227,shopify,1,deny,manual,49,49,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/DSC09599.jpg?v=1572363757,1,,FALSE,,,,,,,,,,,,,,,,,lb,,20
wild-thing-skirt,,,,,,,,Medium,,,,,,227,shopify,3,deny,manual,49,49,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/DSC09547.jpg?v=1572363757,2,,,,,,,,,,,,,,,,,,,lb,,20
wild-thing-skirt,,,,,,,,Large,,,,,,227,shopify,1,deny,manual,49,49,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/DSC09952.jpg?v=1572363757,3,,,,,,,,,,,,,,,,,,,lb,,20
rajah-skirt,Rajah Skirt,"<p>Show your wild side! This tiger print skirt can be dressed up with a blouse or more casual with a graphic tee!</p>
<p>Jazlyn is 5 feet tall and wearing a size small.</p>",Goldie Lew,Clothes,,TRUE,Size,Small,,,,,,227,shopify,1,deny,manual,49,49,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/DSC00398.jpg?v=1572363647,1,,FALSE,,,,,,,,,,,,,,,,,lb,,20
rajah-skirt,,,,,,,,Medium,,,,,,227,shopify,2,deny,manual,49,49,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,20
rajah-skirt,,,,,,,,Large,,,,,,227,shopify,3,deny,manual,49,49,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,20
leo-skirt,Leo Skirt,"<meta charset=""utf-8"">
<p>Show your wild side! This black<span> </span>leopard skirt can be dressed up with a blouse or more casual with a graphic tee!</p>
<p>Jazlyn is 5 feet tall and wearing a size small.</p>",Goldie Lew,Clothes,,TRUE,Size,Small,,,,,,318,shopify,0,deny,manual,44,49,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/IMG_8084.jpg?v=1571731855,1,,FALSE,,,,,,,,,,,,,,,,,lb,,20
leo-skirt,,,,,,,,Medium,,,,,,318,shopify,0,deny,manual,44,49,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/IMG_8092.jpg?v=1571731855,2,,,,,,,,,,,,,,,,,,,lb,,20
leo-skirt,,,,,,,,Large,,,,,,318,shopify,0,deny,manual,44,49,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/IMG_8087.jpg?v=1571731855,3,,,,,,,,,,,,,,,,,,,lb,,20
kaa-skirt,Kaa Skirt,"<p>Show your wild side! This snake skin pencil skirt can be dressed up with a blouse or more casual with a graphic tee!</p>
<p>Jazlyn is 5 feet tall and wearing a size small.</p>",Goldie Lew,Clothes,,TRUE,Size,Small,,,,,,227,shopify,0,deny,manual,49,49,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/DSC06306.jpg?v=1571731851,1,,FALSE,,,,,,,,,,,,,,,,,lb,,20
kaa-skirt,,,,,,,,Medium,,,,,,227,shopify,4,deny,manual,49,49,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/DSC06127.jpg?v=1571731851,2,,,,,,,,,,,,,,,,,,,lb,,20
kaa-skirt,,,,,,,,Large,,,,,,227,shopify,2,deny,manual,49,49,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/DSC06429.jpg?v=1571731851,3,,,,,,,,,,,,,,,,,,,lb,,20
shere-khan-skirt,Shere Khan Skirt,"<p>Show your wild side! This tiger print A-line ruffle skirt can be dressed up with a blouse or more casual with a graphic tee!</p>
<p>Jazlyn is 5 feet tall and wearing a size small.</p>",Goldie Lew,Clothes,,TRUE,Size,Small,,,,,,227,shopify,0,deny,manual,49,49,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/DSC05983.jpg?v=1571731851,1,,FALSE,,,,,,,,,,,,,,,,,lb,,20
shere-khan-skirt,,,,,,,,Medium,,,,,,227,shopify,5,deny,manual,49,49,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/DSC05989.jpg?v=1571731851,2,,,,,,,,,,,,,,,,,,,lb,,20
shere-khan-skirt,,,,,,,,Large,,,,,,227,shopify,0,deny,manual,49,49,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0079/2110/7011/products/DSC05947.jpg?v=1571731851,3,,,,,,,,,,,,,,,,,,,lb,,20